Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
GAME_NAME,Bermuda Duo Squad,百慕達雙人組,เบอร์มิวดา ดูโอ้ ผู้เล่น,Song Lang Chiến,Pasukan Duo Bermuda,Esquadrão Dupla das Bermudas,Escuadrón duo en Bermuda,Бермудский дуэт Команда,Équipe Duo des Bermudes,Bermuda-Duo-Kader,Bermuda İkili Kadro,बरमूडा डुओ स्क्वाड,Echipa Bermuda Duo,فرقة برمودا الثنائية,ဘာမြူဒါ Duo အဖွဲ့,برمودا جوڑی اسکواڈ,বারমুডা ডুও স্কোয়াড
GAME_DESCRIPTION,2vs2vs2vs2 mode with special events,包含特殊事件的 2v2v2v2 模式,โหมด 2vs2vs2vs2 พร้อมกิจกรรมพิเศษ,Chế độ 2vs2vs2vs2 với sự kiện đặc biệt,Mode 2vs2vs2vs2 dengan acara khusus,Modo 2vs2vs2vs2 com eventos especiais,Modo 2vs2vs2vs2 con eventos especiales,Режим 2vs2vs2vs2 со специальными событиями,Mode 2vs2vs2vs2 avec événements spéciaux,2vs2vs2vs2-Modus mit besonderen Ereignissen,Özel etkinliklerle 2vs2vs2vs2 modu,विशेष आयोजनों के साथ 2vs2vs2vs2 मोड,Modul 2vs2vs2vs2 cu evenimente speciale,وضع 2vs2vs2vs2 مع الأحداث الخاصة,အထူးဖြစ်ရပ်များနှင့်အတူ 2vs2vs2vs2 မုဒ်,خصوصی واقعات کے ساتھ 2vs2vs2vs2 موڈ,বিশেষ ইভেন্ট সহ 2vs2vs2vs2 মোড
EVENT_0,"In this round, everyone has big head",在這一輪中，每個人都有大頭,ในรอบนี้ทุกคนมีหัวใหญ่,"Vòng này, mọi người có đầu thật to","Di babak ini, semua orang memiliki kepala besar","Nesta rodada, todo mundo tem cabeça grande","En esta ronda, todos tienen la cabeza grande",В этом раунде у каждого большая голова,"Dans ce tour, tout le monde a une grande tête",In dieser Runde hat jeder einen großen Kopf,Bu turda herkesin büyük kafası var,"इस दौर में, सभी के पास बड़ा सिर है","În această rundă, toată lumea are un cap mare",في هذه الجولة ، كل شخص لديه رأس كبير,ဒီပတ်ပတ်လည်မှာလူတိုင်းမှာခေါင်းကြီးတွေရှိတယ်,اس دور میں ، ہر ایک کا سر بڑا ہے,"এই রাউন্ডে, প্রত্যেকেরই বড় মাথা আছে"
EVENT_1,"In this round, zero gravity zone appears",在這一輪中，出現零重力區,ในรอบนี้โซนแรงโน้มถ่วงศูนย์จะปรากฏขึ้น,"Vòng này, vùng không trọng lực xuất hiện","Di babak ini, zona gravitasi nol muncul","Nesta rodada, a zona de gravidade zero aparece","En esta ronda, aparecerá la zona de gravedad cero",В этом раунде появляется зона невесомости,"Dans ce tour, la zone de gravité zéro apparaît",In dieser Runde erscheint die Schwereloktionszone,Bu turda sıfır yerçekimi bölgesi ortaya çıkar,"इस दौर में, शून्य गुरुत्वाकर्षण क्षेत्र दिखाई देता है","În această rundă, apare Zero Gravity Zone",في هذه الجولة ، تظهر منطقة الجاذبية صفر,ဒီပတ်ပတ်လည်မှာသုညဆွဲငင်အားဇုန်ပေါ်လာလိမ့်မယ်,اس دور میں ، صفر کشش ثقل زون ظاہر ہوتا ہے,"এই রাউন্ডে, শূন্য মাধ্যাকর্ষণ অঞ্চল উপস্থিত হয়"
EVENT_2,"In this round, everyone has a lot of gloowalls",在這一輪中，每個人都有很多Gloowalls,ในรอบนี้ทุกคนมี gloowalls มากมาย,"Vòng này, mọi người có rất nhiều bom keo","Di babak ini, setiap orang memiliki banyak Gloowalls","Nesta rodada, todo mundo tem muitos gloowalls","En esta ronda, todos tienen muchas Paredes Gloo",В этом раунде у всех много глюоволсов,"Dans ce tour, tout le monde a beaucoup de Gloowalls",In dieser Runde hat jeder viele Gloowalls,"Bu turda, herkesin çok fazla gloowall var","इस दौर में, सभी के पास बहुत सारे ग्लोवॉल हैं","În această rundă, toată lumea are o mulțime de Gloowalls",في هذه الجولة ، كل شخص لديه الكثير من gloowalls,ဒီပတ်ပတ်လည်မှာလူတိုင်းမှာ gloowalls တွေအများကြီးရှိတယ်,اس دور میں ، ہر ایک کے پاس بہت سارے گلوولز ہوتے ہیں,"এই রাউন্ডে, প্রত্যেকের প্রচুর গ্লোওল রয়েছে"
EVENT_3,"In this round, everyone has a lot of grenades",在這一輪中，每個人都有很多手榴彈,ในรอบนี้ทุกคนมีระเบิดจำนวนมาก,"Vòng này, mọi người có rất nhiều lựu đạn","Di babak ini, setiap orang memiliki banyak granat","Nesta rodada, todo mundo tem muitas granadas","En esta ronda, todos tienen muchas granadas",В этом раунде у всех много гранат,"Dans ce tour, tout le monde a beaucoup de grenades",In dieser Runde hat jeder viele Granaten,Bu turda herkesin çok fazla el bombası var,"इस दौर में, सभी के पास बहुत सारे ग्रेनेड हैं","În această rundă, toată lumea are o mulțime de grenade",في هذه الجولة ، كل شخص لديه الكثير من القنابل اليدوية,ဒီပတ်ပတ်လည်မှာလူတိုင်းမှာလက်ပစ်ဗုံးတွေအများကြီးရှိတယ်,اس دور میں ، ہر ایک کے پاس بہت سارے دستی بم ہوتے ہیں,"এই রাউন্ডে, প্রত্যেকের প্রচুর গ্রেনেড রয়েছে"
EVENT_4,"In this round, everyone  movement speed is increase",在這一輪中，每個人的運動速度都在提高,ในรอบนี้ความเร็วการเคลื่อนไหวของทุกคนเพิ่มขึ้น,"Vòng này, tốc độ di chuyển được gia tăng","Di babak ini, kecepatan gerakan semua orang meningkat","Nesta rodada, a velocidade de movimento de todos é aumentar","En esta ronda, se aumenta la velocidad de movimiento de todos",В этом раунде скорость движения все увеличивается,"Dans ce tour, la vitesse de déplacement de tout le monde augmente",In dieser Runde erhöht sich alle Bewegungsgeschwindigkeiten,Bu turda herkes hareket hızı artıyor,"इस दौर में, सभी आंदोलन की गति में वृद्धि हुई है","În această rundă, toată viteza de mișcare a tuturor creșterii",في هذه الجولة ، تزداد سرعة حركة الجميع,ဒီပတ်ပတ်လည်မှာလူတိုင်းလှုပ်ရှားမှုမြန်နှုန်းတိုးလာသည်,اس دور میں ، ہر ایک کی نقل و حرکت کی رفتار میں اضافہ ہوتا ہے,"এই রাউন্ডে, প্রত্যেকের চলাচলের গতি বৃদ্ধি পায়"
EVENT_5,"In this round, body gets smaller when it gets shot",在這一輪中，被射擊時身體變小,ในรอบนี้ร่างกายจะเล็กลงเมื่อมันถูกยิง,"Vòng này, cơ thể nhỏ lại khi bị bắn","Di babak ini, tubuh menjadi lebih kecil saat ditembak","Nesta rodada, o corpo fica menor quando é baleado","En esta ronda, el cuerpo se hace más pequeño al recibir disparos","В этом раунде тело становится меньше, когда его застреляют","Dans ce tour, le corps devient plus petit quand il est abattu","In dieser Runde wird der Körper kleiner, wenn er erschossen wird","Bu turda, vücut vurulduğunda küçülür","इस दौर में, शॉट होने पर शरीर छोटा हो जाता है","În această rundă, corpul devine mai mic atunci când este împușcat",في هذه الجولة ، يصبح الجسم أصغر عندما يتم إطلاق النار عليه,ဒီပတ်ပတ်လည်မှာတော့ခန္ဓာကိုယ်ကပစ်သတ်တဲ့အခါခန္ဓာကိုယ်ကသေးငယ်လာတယ်,اس دور میں ، جب اسے گولی مار دی جاتی ہے تو جسم چھوٹا ہوجاتا ہے,"এই রাউন্ডে, শট লাগলে শরীর আরও ছোট হয়"
EVENT_6,"In this round, body gets bigger when it gets shot",在這一輪中，身體被射擊時會變大,ในรอบนี้ร่างกายจะใหญ่ขึ้นเมื่อมันถูกยิง,"Vòng này, cơ thể to ra khi bị bắn","Di babak ini, tubuh menjadi lebih besar saat ditembak","Nesta rodada, o corpo fica maior quando é baleado","En esta ronda, el cuerpo se hace más grande al recibir disparos","В этом раунде тело становится больше, когда его застреляют","Dans ce tour, le corps grossit quand il est abattu","In dieser Runde wird der Körper größer, wenn er erschossen wird","Bu turda, vurulduğunda vücut büyür","इस दौर में, शॉट होने पर शरीर बड़ा हो जाता है","În această rundă, corpul devine mai mare atunci când este împușcat",في هذه الجولة ، يصبح الجسم أكبر عندما يتم إطلاق النار عليه,ဒီပတ်ပတ်လည်မှာခန္ဓာကိုယ်ကပစ်သတ်တဲ့အခါခန္ဓာကိုယ်ကပိုကြီးလာတယ်,اس دور میں ، جب اسے گولی مار دی جاتی ہے تو جسم بڑا ہوجاتا ہے,"এই রাউন্ডে, শট লাগলে শরীর আরও বড় হয়"
EVENT_7,"In this round, everyone has jet pack shoes",在這一輪中，每個人都有噴氣鞋,ในรอบนี้ทุกคนมีรองเท้าเจ็ตแพ็ค,"Vòng này, mọi người có giày tên lửa","Di babak ini, semua orang memiliki sepatu jet pack","Nesta rodada, todos têm sapatos de jato","En esta ronda, todos tienen zapatos dev propulsión",В этом раунде у всех есть туфли Jet Pack,"Dans ce tour, tout le monde a des chaussures à réaction",In dieser Runde hat jeder Jet -Pack -Schuhe,Bu turda herkesin jet paketi ayakkabısı var,"इस दौर में, सभी के पास जेट पैक जूते हैं","În această rundă, toată lumea are pantofi cu pachete cu jet",في هذه الجولة ، كل شخص لديه أحذية حزمة نفاثة,ဒီပတ်ပတ်လည်မှာလူတိုင်းဂျက်ထုပ်ဖိနပ်တွေရှိတယ်,اس دور میں ، ہر ایک کے پاس جیٹ پیک کے جوتے ہیں,"এই রাউন্ডে, প্রত্যেকের জেট প্যাক জুতা রয়েছে"
